event_id,hk_facility,hk_meter,hk_period,factor_id,reading_ts,kwh_value,scope2_kgco2e,raw_record_hash,transform_ver,load_dts,record_source
1,49b989a23f0d55741477257b0aeeaa2d,50f6c1a2a657054ff8618acbaf68b835,2cd8aaff242c4767227849d313d2e30c,4,2026-01-01 00:30:00,32.72,26.8304,999656766ea8e7e0572016b2a5535e2a,syn_v1,2026-03-06 02:13:39.706962,SYN
2,21debacd2d92a22891de2856fe08f89e,0f55629e27434687cc60fff810aed046,2cd8aaff242c4767227849d313d2e30c,5,2026-01-01 05:45:00,15.47,9.9008,626d3daaae2e7ad75cc4ed3352a3093a,syn_v1,2026-03-06 02:13:39.706962,SYN
3,09a55d5d1937b90372433ba490c07b7f,9763273cad3d7e43212383926a476377,2cd8aaff242c4767227849d313d2e30c,6,2026-01-01 03:00:00,31.95,23.004,2400720c8f54591aa88bcc14fc175d91,syn_v1,2026-03-06 02:13:39.706962,SYN
4,069712518702ff45057bf9d64721856d,7b77c43c2c75df6f32568deb07afebf6,2cd8aaff242c4767227849d313d2e30c,7,2026-01-01 05:45:00,8.78,6.8484,2a32759bbc9b4447415554b38a585699,syn_v1,2026-03-06 02:13:39.706962,SYN
5,5bbcc090b4cfd4f7babb26b9e59fda45,adbc7dd07624f2f5a10ac347b3e82037,2cd8aaff242c4767227849d313d2e30c,8,2026-01-01 05:45:00,22.49,15.5181,36a8de77133312af55db56a1de883c3d,syn_v1,2026-03-06 02:13:39.706962,SYN
6,fea538323d9ab84b92cb95644d6c7b35,6fdef3613dccbec4fccfdc5d257064cf,2cd8aaff242c4767227849d313d2e30c,4,2026-01-01 05:45:00,20.71,16.9822,c2fb0a0b4c96ffa3f1e2e3108458a962,syn_v1,2026-03-06 02:13:39.706962,SYN
7,8c036722922b24fcf79efc1ed0d68e71,f1ce828e1ac9557e02dc8ba772d394e1,2cd8aaff242c4767227849d313d2e30c,5,2026-01-01 03:15:00,36.11,23.1104,5df05bccbcb7fc329990f4cf516f498c,syn_v1,2026-03-06 02:13:39.706962,SYN
8,9b476072ebb3b53dd331ce8adbbc4e73,2f0834e5924f9e15117b7c29853bfbc5,2cd8aaff242c4767227849d313d2e30c,6,2026-01-01 05:15:00,16.34,11.7648,857111a0317d06bd13d2d29d2df7463d,syn_v1,2026-03-06 02:13:39.706962,SYN
9,03d342a18a7e413fcf8985e0232487bf,a055372963c647fb96960a3c3daa8919,2cd8aaff242c4767227849d313d2e30c,7,2026-01-01 05:30:00,17.51,13.6578,c40853e0cda3a9b1d8db2d739b799bb4,syn_v1,2026-03-06 02:13:39.706962,SYN
10,bf8afd90946c34723eeb1ccc576a98b8,73486626af9fdaa97f1d22f2226ea211,2cd8aaff242c4767227849d313d2e30c,8,2026-01-01 01:30:00,23.68,16.3392,d5db728ecaddadb2c5886ec8cfce0ecc,syn_v1,2026-03-06 02:13:39.706962,SYN
11,4a65bc20c96683b4bc54c1a4c95b5d5e,86f1b641a68961a0f1632121f0db743a,2cd8aaff242c4767227849d313d2e30c,4,2026-01-01 01:00:00,34.95,28.659,181cb8009daeb5e20258f255668f04f8,syn_v1,2026-03-06 02:13:39.706962,SYN
12,f81294bd68853a5e1c02ea2f6c4e8cd0,b95733e002b76f779e1ba5968f294a27,2cd8aaff242c4767227849d313d2e30c,5,2026-01-01 05:15:00,7.75,4.96,288c1c25010cfab5544713eaa8687281,syn_v1,2026-03-06 02:13:39.706962,SYN
13,4295c25baa729e95f6c98d5f0f2dca9a,ba87672ca630535a6bbedbcb20ea1438,2cd8aaff242c4767227849d313d2e30c,6,2026-01-01 05:00:00,23.69,17.0568,2e5467869c1b4e3e8799576d6369d5cc,syn_v1,2026-03-06 02:13:39.706962,SYN
14,da11c928386dbdc18c34f288e21ee019,60ea0ee5078fe43fe08cd23410a4a1a5,2cd8aaff242c4767227849d313d2e30c,7,2026-01-01 01:00:00,12.45,9.711,f2f8d1083a8c8b0d76f585abcab1ee29,syn_v1,2026-03-06 02:13:39.706962,SYN
15,cd83927962802ca3b606ae9f3c6d73be,0f989f77c634fa7fabc952ec7968e334,2cd8aaff242c4767227849d313d2e30c,8,2026-01-01 02:45:00,15.99,11.0331,95b69cffc89c090024437f4bed17af03,syn_v1,2026-03-06 02:13:39.706962,SYN
16,c76f671a4753cc664519a8a4b2dfe527,f6edcb8f21ed78c3d861828ae2a48923,2cd8aaff242c4767227849d313d2e30c,4,2026-01-01 03:00:00,18.68,15.3176,5d4c68149b4d959ec9df9569c621f014,syn_v1,2026-03-06 02:13:39.706962,SYN
17,e7b39405255ec5841088f6663359fb00,d4013c0d4277b6c6be6ab5a7bef0f2a6,2cd8aaff242c4767227849d313d2e30c,5,2026-01-01 05:45:00,13.23,8.4672,913987dd126d8563c435cf1203789c05,syn_v1,2026-03-06 02:13:39.706962,SYN
18,413e2baff151d8d4c537680d7d05316e,800f55e8a57f35a25b70fd32b422bd8f,2cd8aaff242c4767227849d313d2e30c,6,2026-01-01 03:15:00,22.48,16.1856,ba8bb8ee6c01a0c3f80f7b9f1d473f48,syn_v1,2026-03-06 02:13:39.706962,SYN
19,291614fc894042ffde48370a464eddb8,ef89ddedc93a3aff0ac3bc0448630bcf,2cd8aaff242c4767227849d313d2e30c,7,2026-01-01 03:15:00,23.32,18.1896,0534bdc02941d275d893214f7d8b467c,syn_v1,2026-03-06 02:13:39.706962,SYN
20,e1eeb625e5a4a6426698339fb189e9e2,72488ac84e327635924936afc3d779e1,2cd8aaff242c4767227849d313d2e30c,8,2026-01-01 04:00:00,38.17,26.3373,a320d10f00d12de647d0df12e0a1c146,syn_v1,2026-03-06 02:13:39.706962,SYN
21,f7f70ccab084c8c5d8b96b87dc86d5f9,eeba3811cb57c92a6ea44968a4f97766,2cd8aaff242c4767227849d313d2e30c,4,2026-01-01 05:00:00,20.52,16.8264,2ca349a62b632c12918d1009293b04e4,syn_v1,2026-03-06 02:13:39.706962,SYN
22,7efaf4ff4c6611946b347d2367bcb807,e18813137b3dcf1002b8a2118ad490a6,2cd8aaff242c4767227849d313d2e30c,5,2026-01-01 05:00:00,26.78,17.1392,67253a1b0f1bf06eccefbf801e2a5e73,syn_v1,2026-03-06 02:13:39.706962,SYN
23,f1b3d8912e2bd9ddb0f335583d2152cb,8d69f9d3ee1f8eeb40685ce2a2761e2b,2cd8aaff242c4767227849d313d2e30c,6,2026-01-01 05:00:00,24.69,17.7768,a20875464830764f157578fa1e987ce9,syn_v1,2026-03-06 02:13:39.706962,SYN
24,1a633a890bb61427286485ce2336b11e,63221c2c21497266045dfbb99c78a5ad,2cd8aaff242c4767227849d313d2e30c,7,2026-01-01 03:00:00,5.55,4.329,e850810e3cb66f3e2fbbb82260b85b56,syn_v1,2026-03-06 02:13:39.706962,SYN
25,4f49e99ee442756940e14404c79772a6,bc93a13748b70d18efb63905b4729a70,2cd8aaff242c4767227849d313d2e30c,8,2026-01-01 03:30:00,7.76,5.3544,58aa47c1d8248895c625f2afc73c41c5,syn_v1,2026-03-06 02:13:39.706962,SYN
26,49b989a23f0d55741477257b0aeeaa2d,0b5d6226ccd2fdd3e6f6e1956b504aaa,2cd8aaff242c4767227849d313d2e30c,4,2026-01-01 02:30:00,13.69,11.2258,6edc5daecc33eb86ebf71b158cc9e45b,syn_v1,2026-03-06 02:13:39.706962,SYN
27,21debacd2d92a22891de2856fe08f89e,fade435388a09e7bb13e69ce89053d12,2cd8aaff242c4767227849d313d2e30c,5,2026-01-01 03:30:00,33.66,21.5424,235c97ac336ab8823c02c8f0ec3dcbf4,syn_v1,2026-03-06 02:13:39.706962,SYN
28,09a55d5d1937b90372433ba490c07b7f,a91009d7da53061afec1cd610e5e51fe,2cd8aaff242c4767227849d313d2e30c,6,2026-01-01 05:45:00,10.84,7.8048,fdae05df846cd729f0e47d6cec32cfbc,syn_v1,2026-03-06 02:13:39.706962,SYN
29,069712518702ff45057bf9d64721856d,45e76642a4de442bd9111f8b74eacd14,2cd8aaff242c4767227849d313d2e30c,7,2026-01-01 00:15:00,33.61,26.2158,950b31537790dfba9a4be731c9ed07e4,syn_v1,2026-03-06 02:13:39.706962,SYN
30,5bbcc090b4cfd4f7babb26b9e59fda45,e4897e705305eda186d7d51ecb1d78f2,2cd8aaff242c4767227849d313d2e30c,8,2026-01-01 05:45:00,12.85,8.8665,59b5bdef40b6d45cc23fbdc134c350ec,syn_v1,2026-03-06 02:13:39.706962,SYN
31,fea538323d9ab84b92cb95644d6c7b35,e0a92be582d99426e704723d4c37efda,2cd8aaff242c4767227849d313d2e30c,4,2026-01-01 03:00:00,40.41,33.1362,48a3705e57d7c470abde74a2c3cc2bbd,syn_v1,2026-03-06 02:13:39.706962,SYN
32,8c036722922b24fcf79efc1ed0d68e71,c9e0e9af64154fcf3dd343f8c6b9df75,2cd8aaff242c4767227849d313d2e30c,5,2026-01-01 04:15:00,15.82,10.1248,a036891ac75a550049beb28f135433b5,syn_v1,2026-03-06 02:13:39.706962,SYN
33,9b476072ebb3b53dd331ce8adbbc4e73,44ae5b318b9fe3e1cf56c5850ceb22e2,2cd8aaff242c4767227849d313d2e30c,6,2026-01-01 04:45:00,9.28,6.6816,ed27aa3314faf98b237c5e5302c24f5b,syn_v1,2026-03-06 02:13:39.706962,SYN
34,03d342a18a7e413fcf8985e0232487bf,bfb39e69696ec4a03cf7ab4c5ac50488,2cd8aaff242c4767227849d313d2e30c,7,2026-01-01 05:45:00,35.95,28.041,bc5a1fe2cdb207b4ec71488ed92dfd81,syn_v1,2026-03-06 02:13:39.706962,SYN
35,bf8afd90946c34723eeb1ccc576a98b8,6185fa7ea83b73ec408b03acd6227e63,2cd8aaff242c4767227849d313d2e30c,8,2026-01-01 05:45:00,25.59,17.6571,8febe05229eb7a28f2fab48af2287dd3,syn_v1,2026-03-06 02:13:39.706962,SYN
36,4a65bc20c96683b4bc54c1a4c95b5d5e,1913f4f46a37fa8b2ada0b716195eb61,2cd8aaff242c4767227849d313d2e30c,4,2026-01-01 05:45:00,37.69,30.9058,da099c2b32f48d231172855dd94648e7,syn_v1,2026-03-06 02:13:39.706962,SYN
37,f81294bd68853a5e1c02ea2f6c4e8cd0,2db3c1b4a6a728394b7151200d0f3256,2cd8aaff242c4767227849d313d2e30c,5,2026-01-01 05:45:00,16.0,10.24,0465182f6a70335908f5e1fd35a8acec,syn_v1,2026-03-06 02:13:39.706962,SYN
38,4295c25baa729e95f6c98d5f0f2dca9a,05045e28f89c6a6eb450edf3f9ee64c1,2cd8aaff242c4767227849d313d2e30c,6,2026-01-01 05:45:00,22.8,16.416,0a0ea6c6c35ab58cbc6b6ae77db3cb8a,syn_v1,2026-03-06 02:13:39.706962,SYN
39,da11c928386dbdc18c34f288e21ee019,61726f70063ae235d70dfc7808f2bc0c,2cd8aaff242c4767227849d313d2e30c,7,2026-01-01 03:00:00,31.24,24.3672,2b64eba42951e1136665d3264e1b1357,syn_v1,2026-03-06 02:13:39.706962,SYN
40,cd83927962802ca3b606ae9f3c6d73be,cd5073e7243d0505235af8621d7f0ffd,2cd8aaff242c4767227849d313d2e30c,8,2026-01-01 01:30:00,24.93,17.2017,4063fb310ad9fa7418ca908afeaf5d51,syn_v1,2026-03-06 02:13:39.706962,SYN
41,c76f671a4753cc664519a8a4b2dfe527,ceb74a239a993c2f006675105910a336,2cd8aaff242c4767227849d313d2e30c,4,2026-01-01 02:00:00,34.74,28.4868,6d0cb915589bde78fa39713ca2530301,syn_v1,2026-03-06 02:13:39.706962,SYN
42,e7b39405255ec5841088f6663359fb00,05c70022dc4af59ad2f14d958f81d56c,2cd8aaff242c4767227849d313d2e30c,5,2026-01-01 02:15:00,24.83,15.8912,674b0b99f23f197c6e4e701b8d600ff9,syn_v1,2026-03-06 02:13:39.706962,SYN
43,413e2baff151d8d4c537680d7d05316e,a5a8b56241675cad003bb83e2c551c88,2cd8aaff242c4767227849d313d2e30c,6,2026-01-01 03:15:00,33.48,24.1056,b4e7d85f2dde6b582efb2e6fd69fb642,syn_v1,2026-03-06 02:13:39.706962,SYN
