hk_meter,reading_ts,load_dts,record_source,hashdiff,kwh_value,quality_flag
c1c333c945203517ac99efdb745e551c,2026-01-01 00:00:00,2026-03-06 02:13:39.706962,SYN,0d5034791c7836562e9593b97b94e1ec,14.95,OK
f6edcb8f21ed78c3d861828ae2a48923,2026-01-01 00:00:00,2026-03-06 02:13:39.706962,SYN,8e65d900cf237f5f197e52e74b00388d,10.7,OK
0637232e1c0f920620e846292911e1f2,2026-01-01 00:00:00,2026-03-06 02:13:39.706962,SYN,f474469a8841eb3077f37ea5f5a9330d,30.7,OK
61726f70063ae235d70dfc7808f2bc0c,2026-01-01 00:00:00,2026-03-06 02:13:39.706962,SYN,9a02bf97ec93946c07b16525cb923cfd,30.76,OK
02ebb373a7e00216e646d1efcccf3a1f,2026-01-01 00:00:00,2026-03-06 02:13:39.706962,SYN,1cc2d189a777e9c03be7064bcee7caee,30.38,OK
cd5073e7243d0505235af8621d7f0ffd,2026-01-01 00:00:00,2026-03-06 02:13:39.706962,SYN,e5b944f26793d8ee8f8962f011ead1be,5.58,OK
ceb74a239a993c2f006675105910a336,2026-01-01 00:00:00,2026-03-06 02:13:39.706962,SYN,413c048d27d9cd2515b84c907feb5260,35.65,OK
2db3c1b4a6a728394b7151200d0f3256,2026-01-01 00:15:00,2026-03-06 02:13:39.706962,SYN,06620046b9d074bd1de1687f9c68ec57,14.12,OK
3b59c6bbad31327de76453a4150d8579,2026-01-01 00:15:00,2026-03-06 02:13:39.706962,SYN,7ca00c024e269bb0a5beb036b3968e58,7.11,OK
5e33cdf859ea46e7088d5834edde5cb3,2026-01-01 00:15:00,2026-03-06 02:13:39.706962,SYN,0f0964d5a6776a6876b26788a2d5dab1,17.31,OK
6ee372acc0312239e8ca73ea66a3229b,2026-01-01 00:15:00,2026-03-06 02:13:39.706962,SYN,8e29c38aff37028e68950e74e89298c9,24.38,OK
a91009d7da53061afec1cd610e5e51fe,2026-01-01 00:15:00,2026-03-06 02:13:39.706962,SYN,ac304d0b846b3cb74d5189629f713df0,30.78,EST
adbc7dd07624f2f5a10ac347b3e82037,2026-01-01 00:15:00,2026-03-06 02:13:39.706962,SYN,85514feb742422f62308029bfc9039f8,7.77,OK
b6bc2ff3f6c5421889a6e1e3232941aa,2026-01-01 00:30:00,2026-03-06 02:13:39.706962,SYN,ab3b7ff236c86067eadf3b10107cc1da,26.29,OK
60ea0ee5078fe43fe08cd23410a4a1a5,2026-01-01 00:30:00,2026-03-06 02:13:39.706962,SYN,0488f2f3a34270fd6ae5162c7bc389e8,31.3,OK
86f1b641a68961a0f1632121f0db743a,2026-01-01 00:30:00,2026-03-06 02:13:39.706962,SYN,237847587c09974a2ccda02f771ef055,34.44,OK
ef89ddedc93a3aff0ac3bc0448630bcf,2026-01-01 00:30:00,2026-03-06 02:13:39.706962,SYN,1b6e2d654d353ccf17c959145469c2a7,9.98,OK
6185fa7ea83b73ec408b03acd6227e63,2026-01-01 00:45:00,2026-03-06 02:13:39.706962,SYN,cb0fb8fc6f2c8295467ac714d371dae6,10.01,OK
13e28d2986c2587be9a5d54086a30e19,2026-01-01 00:45:00,2026-03-06 02:13:39.706962,SYN,03085ceb4f1f3290e7f4e854362f52a9,31.62,OK
